pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,methodology,start_date,end_date,hypothetical,partisan,pollscore,transparency_score,voters
Suffolk,2.9,National,Kamala Harris,DEM,45.3,1000,lv,Live Phone,2024-10-14,2024-10-18,FALSE,NA,-1,8,453
Suffolk,2.9,National,Donald Trump,REP,44.4,1000,lv,Live Phone,2024-10-14,2024-10-18,FALSE,NA,-1,8,444
Suffolk,2.9,National,Kamala Harris,DEM,49.7,1000,lv,Live Phone,2024-10-14,2024-10-18,FALSE,NA,-1,8,497
Suffolk,2.9,National,Donald Trump,REP,48.7,1000,lv,Live Phone,2024-10-14,2024-10-18,FALSE,NA,-1,8,487
U. North Florida,2.8,Florida,Kamala Harris,DEM,43,977,lv,Live Phone,2024-10-07,2024-10-18,FALSE,NA,-0.6,10,420
U. North Florida,2.8,Florida,Donald Trump,REP,53,977,lv,Live Phone,2024-10-07,2024-10-18,FALSE,NA,-0.6,10,518
Emerson,2.9,National,Kamala Harris,DEM,49.5,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-14,2024-10-16,FALSE,NA,-1.1,7,495
Emerson,2.9,National,Donald Trump,REP,49.2,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-14,2024-10-16,FALSE,NA,-1.1,7,492
YouGov,3,Arizona,Kamala Harris,DEM,48,1435,lv,Online Panel,2024-10-11,2024-10-16,FALSE,NA,-1.1,9,689
YouGov,3,Arizona,Donald Trump,REP,51,1435,lv,Online Panel,2024-10-11,2024-10-16,FALSE,NA,-1.1,9,732
YouGov,3,National,Kamala Harris,DEM,48,1457,rv,Online Panel,2024-10-12,2024-10-15,FALSE,NA,-1.1,9,699
YouGov,3,National,Donald Trump,REP,45,1457,rv,Online Panel,2024-10-12,2024-10-15,FALSE,NA,-1.1,9,656
YouGov,3,National,Kamala Harris,DEM,49,1314,lv,Online Panel,2024-10-12,2024-10-15,FALSE,NA,-1.1,9,644
YouGov,3,National,Donald Trump,REP,45,1314,lv,Online Panel,2024-10-12,2024-10-15,FALSE,NA,-1.1,9,591
